Deal Name,Company name,Address,google_places_id,"Macro Geo (NYC, SF, CHS, DC, LA, NASH, DEN)",Error?,place_id_verification,match_status,match_confidence,match_method,verified_place_id,match_notes
82 Queen French Quarter,82 Queen,82 Queen St,ChIJDZ7DvBF6_ogRhOZ4IH9ehhE,CHS,,Invalid: Address match (0.85),MATCHED,1.0,verified_place_id,,Matched to DB row 6
Crown Shy Financial District,Crown Shy,70 Pine Street Ground Floor,ChIJ__9LNBZawokREnkOiVx7ydc,NYC,,Invalid: Address match (0.89),MATCHED,1.0,verified_place_id,,Matched to DB row 168
Falansai Bushwick,Falansai,112 Harrison Place,ChIJc11gFQJcwokRcOejfRbBPpo,NYC,,Valid: Falansai (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to DB row 218
Bobwhite Counter Alphabet City,Bobwhite Counter (East Village),124 E 14th St,ChIJhb1Sx3lZwokR7-zaifOkCwo,NYC,,Invalid: Partial name match (0.70),MATCHED,1.0,verified_place_id,,Matched to DB row 92
Blanca Bushwick,Blanca,261 Moore St,ChIJrSjk6QBcwokRJ12Xetu0rX4,NYC,,Invalid: Address match (0.86),NO_MATCH,0.0,,,No confident match found
White Horse Tavern West Village,White Horse Tavern,567 Hudson Street,ChIJGfAs0ZRZwokR584EB4uBkyU,NYC,,Valid: White Horse Tavern (conf: 0.80),MATCHED,1.0,verified_place_id,,Matched to DB row 794
Davey's Ice Cream East Village,Davey’s Ice Cream (EV),74 Meserole Ave,ChIJBxhQcdtZwokRZZDSUen2K1w,NYC,,Invalid: Partial name match (0.72),MATCHED,1.0,verified_place_id,,Matched to DB row 175
Madame Vo East Village,Madame Vo,212 E 10th St,ChIJqRaETJxZwokRik6wrAXTOd4,NYC,,Invalid: Partial address match (0.79),MATCHED,1.0,verified_place_id,,Matched to DB row 416
Benjamin Prime Midtown East,Benjamin Prime,23 E 40th St,ChIJOdx0HQFZwokRzHFDS_GXQxk,NYC,,Invalid: Partial address match (0.78),MATCHED,1.0,verified_place_id,,Matched to DB row 70
Empellón Taqueria & Bar Greenwich Village,Empellon Taqueria West Village,,ChIJS3YtZJRZwokR15ezAH-2Sec,NYC,,Invalid: Partial name match (0.67),MATCHED,1.0,verified_place_id,,Matched to DB row 208
