Deal Name,Company name,Address,google_places_id,"Macro Geo (NYC, SF, CHS, DC, LA, NASH, DEN)",Error?
Ketchy Shuby Soho,Ketchy Shuby,406 Broome St,ChIJR4xJInZZwokRMp1wYc4fcag,NYC,
The Roll Pacific Heights,The Roll,,ChIJrxUh1ndZwokRYpfYMnJNe5Y,SF,
Porchetta Shop Cannonborough,Da Toscano Porchetta Shop,109 President Street,ChIJCUQxfgl7_ogR1xze9C_XM4Q,CHS,
Popi's Oysterette Marina,Popi's Oysterette.,2095 Chestnut St.,ChIJq1hymyiBhYARRMRbKOZD6F4,SF,
Graft Wine Bar Uptown Charleston,Graft Wine Shop,700 King St,ChIJz2rDuFx6_ogRk5EZR618YmI,CHS,
Chouquet's,Chouquet's,"2500 Washington Streer, SF, CA 94115",ChIJOyho5cWAhYARuJobf2VcbM0,SF,
Rocco's Sports & Recreation,Rocco's Sports & Recreation,1 West 3rd Street,ChIJ2fLg9KdZwokR0cET1EjEuwk,NYC,
Bandits Diner + Dive,Bandits Diner + Dive,44 Bedford St,ChIJO_Nbh4lZwokR1-EspAqsGLM,NYC,
Sukh Fort Greene,Sukh,723 Fulton St,ChIJo8ltIwBbwokRnpjtIPOzZ2Q,NYC,
Phat Thai Marina,Phat Thai,2380 Lombard Street,ChIJr6PUL3GBhYARzbSgNPNnsac,SF,
Hags East Village,HAGS,163 1st Avenue,ChIJp0ha1dFZwokRK9WxgN9HVuY,NYC,
Bus Stop Pacific Heights,Bus Stop,1901 Union Street,ChIJiyfOTtuAhYARdqz7WudgtMU,SF,
Final Final Pacific Heights,Final Final,2990 Baker Street,ChIJTx2ix9SAhYARjNIgHLlm7rI,SF,
Little Maven - Burger League,Little Maven,30 West 18th Street,ChIJW3LA-dxZwokR0WAavt1PXFE,NYC,
Ma'am Saab Downtown Charleston,Ma'am Saab - Pakistani Restaurant,251 Meeting St,ChIJXRzKDxl7_ogR-ESom4Gc2xY,CHS,
Malika Canteen Mt. Pleasant,Malika Canteen,1333 Theater Dr,ChIJe_xDGdlz_ogROqKNs3SQCTA,CHS,
Carlotto Union Square,Carlotto,100 East 19th Street,ChIJJ8hFlKFZwokRFmzhJg7Qofo,NYC,
Ten Bells,Ten Bells,247 Broome St,ChIJPeCaOIdZwokRXr36ali2z_k,,
Commodore II LES,The Commodore,,ChIJfZlRiPZZwokRNti0HrCP_pw,NYC,
Fossetta Fossetta,Fossetta,,ChIJ9RRDNShZwokRkVa5XZq-rxw,NYC,
Roberta's Midtown,Roberta's Penn District,"One Penn Plaza, Plaza 33 East,",ChIJWV3KRQBZwokRZlT-Om1I_1E,NYC,
R.Slice Midtown,R Slice Penn District,261 Moore Street,ChIJ65H5eABZwokRi1pVbvaiwxY,NYC,
Troya Pacific Heights,Troya,2125 Fillmore Street,ChIJZUcfNsaAhYARZ4b7QZiwaRc,SF,
Seven Hills Russian Hill,Seven Hills,1550 Hyde Street,ChIJc1RqC-yAhYARWmmWMJ-xkDs,SF,
Collina Russian Hill,Collina,1550 Hyde St,ChIJVVWZC-yAhYARTO9lj9HYPlQ,SF,
Two Hands Williamsburg Williamsburg,Two Hands Hospitality,251 Church Street,ChIJP1m519tZwokRf0B_IzX9f9s,NYC,
Butcher's Daughter Williamsburg,The Butcher's Daughter (Williamsburg),,ChIJ3UuR-ONZwokRrKPqaJPKbxw,NYC,
Butcher's Daughter Williamsburg,The Butcher's Daughter,1205 Abbot Kinney Boulevard,ChIJ3UuR-ONZwokRrKPqaJPKbxw,NYC,
Ariari East Village,ARIARI,119 1st Avenue,ChIJhUDJFUVZwokRkNERZsyOxWo,NYC,
Colonia Verde Fort Greene,Colonia Verde,219 Dekalb Ave,ChIJrXze-rlbwokRl3G4x1txJgk,NYC,
Raf's - Burger League,Raf's,290 Elizabeth Street,ChIJJU-UWk1ZwokRklDKrZ_9EZE,NYC,
The Butcher's Daughter Wburg (Breakfast Club),The Butcher's Daughter,1205 Abbot Kinney Boulevard,ChIJ3UuR-ONZwokRrKPqaJPKbxw,NYC,
The Butcher's Daughter Wburg (Breakfast Club),The Butcher's Daughter (Williamsburg),,ChIJ3UuR-ONZwokRrKPqaJPKbxw,NYC,
Gus's Cobble Hill,Gus's Chop Hous,215 Union St,ChIJTb3cUH1bwokRqVj5vctMMXs,NYC,
Butcher's Daughter Nolita,The Butcher's Daughter,1205 Abbot Kinney Boulevard,ChIJiYsEnohZwokR8oZK_TgmSjY,NYC,
Butcher's Daughter Nolita,The Butcher's Daughter (Nolita),,ChIJiYsEnohZwokR8oZK_TgmSjY,NYC,
Elephant Sushi Russian Hill,Elephant Sushi (Russian Hill),1916 Hyde Street,ChIJIXme1uiAhYARonEfUDgz0A4,SF,
Elephant Sushi Fillmore,Elephant Sushi (Hayes Valley),400 Grove St.,ChIJcVyMiSmBhYARK9hpjwu_JcQ,SF,
Lula Mae Fort Greene,Lula Mae,472 Myrtle Avenue,ChIJi9R8lVJbwokRtKjPyX4YvnU,NYC,
Inday All Day Williamsburg,Inday,658 Driggs Avenue,ChIJ-xUElXtZwokRpv0Gz1fJiuc,NYC,
Inday All Day Williamsburg,Inday Williamsburg,658 Driggs Avenue,ChIJ-xUElXtZwokRpv0Gz1fJiuc,NYC,
Maman Upper East Side,Maman- UES,,ChIJAx5HgFlZwokRcWUfz5VxS0w,NYC,
SPQR Pacific Heights,SPQR,1911 Fillmore Street,ChIJCUQFkseAhYARpkr3emAuxp8,SF,
HED 11 SOMA,HED 11,1800 Sutter Street,ChIJ8wbZfQCBhYARbBBXJyQXBZA,SF,
Slate Cafe Midtown,Slate Cafe - Midtown,,ChIJXWk4h4NZwokRX89_Qlwh0z0,NYC,
Slate Cafe Nomad - Breakfast Pass,Slate Cafe Nomad,941 2nd Ave,ChIJMznhLt9ZwokREJt8CB0FTdA,NYC,
Cubby's Hells Kitchen,Cubby’s,,ChIJrX0iSu5ZwokRYg6me9J5obs,NYC,
The Butcher's Daughter (Nolita)- Breakfast Club,The Butcher's Daughter,1205 Abbot Kinney Boulevard,ChIJiYsEnohZwokR8oZK_TgmSjY,NYC,
The Butcher's Daughter (Nolita)- Breakfast Club,The Butcher's Daughter (Nolita),,ChIJiYsEnohZwokR8oZK_TgmSjY,NYC,
Two Hands Williamsburg- Breakfast Club,Two Hands Hospitality,251 Church Street,ChIJ256pFiBawokR-JFcFPAz7Ig,NYC,
Chinta Thai Greenpoint,ChintaThai,157 Franklin Street,ChIJizcRni5ZwokRq-qMYfpKxB4,NYC,
Third Falcon Fort Greene,Third Falcon,360 Myrtle Avenue,ChIJT0Pe_qJbwokR6Ql0YY5qF8I,NYC,
Veselka Williamsburg,Veselka (Williamsburg),75 East 1st Street,ChIJZyqIQwBZwokR1lSPyPdTLoM,NYC,
Veselka Williamsburg,Veselka Restaurant,75 East 1st Street,ChIJZyqIQwBZwokR1lSPyPdTLoM,NYC,
Fulgurances Greenpoint,Fulgurances,132 Franklin St,ChIJcelSUXlZwokRkD8zyKGV6k4,NYC,
Sagaponack Flatiron,Sagaponack in Flatiron District,4 W 22nd St,ChIJuXGLjqNZwokRDEG5LwpEBzk,NYC,
The Brixton Marina,The Brixton,2140 Union Street,ChIJr066l9qAhYARBzcA3aD1zXM,SF,
Palm House Marina,Palm House,2032 Union Street,ChIJtX1s3tqAhYAR8RDMpH2eHbw,SF,
Torch & Crown Brewing Company SOHO,Torch & Crown Brewing Company,12 Vandam Street,ChIJFcrad0_1wokRgswE_VOwb4o,NYC,
Hazie's Hayes Valley,Hazie's,501 Hayes Street,ChIJn-6m802BhYARruM4u0h9-Bc,SF,
Maman Cobble Hill,Maman- Cobble Hill,,ChIJuedIXXtbwokROUHVzt-XCtM,NYC,
Maman Battery Park,Maman- Battery Park,,ChIJVxpH38xbwokRRcqSwuRVwW4,NYC,
Leon's,leonsnyc.com,817 Broadway,ChIJPfXBCwBZwokRI2bnWBxCQCE,NYC,
Indian Accent Indian Accent,,,,NYC,
Koloman - Breakfast Club,Koloman,16 W 29th St,ChIJUUBMchNZwokRwDOHIFhOIHA,NYC,
Runner Up Park Slope,Winner / Runner Up,367 7th Avenue,ChIJa7TQMZFbwokRjivvo3SFNDQ,NYC,
Veselka East Village,Veselka Restaurant,75 East 1st Street,ChIJlxDiXJxZwokRp4HHbeYqXXU,NYC,
Baguette Magic West Ashley,Baguette Magic - West Ashley,792 Folly Rd Unit A,ChIJ3fhrj2V7_ogRHJRlSVyLbGQ,CHS,
Baguette Magic James Island,Baguette Magic - Folly Road,792 Folly Road,ChIJcRYyVQp5_ogRzddEPU6O5fA,CHS,
Alcove Market Harleston Village,Easton & Porter Group,5022 Plank Road,ChIJp0iulmp7_ogRjrA23hLK_Fs,CHS,
Alcove Market Harleston Village,Alcove Market,320 Broad St Suite 155,ChIJp0iulmp7_ogRjrA23hLK_Fs,CHS,
Veselka Grand Central,Veselka (Grand Central),,ChIJVZ111KNZwokRisf1cc9jgxg,NYC,
Veselka Grand Central,Veselka Restaurant,75 East 1st Street,ChIJVZ111KNZwokRisf1cc9jgxg,NYC,
6restaurant.com,6restaurant.com,481 Court Street,ChIJDfRavFtbwokRijMBw1NobfM,NYC,
Dalida Mission,Dalida,101 Montgomery Street,ChIJ-0oK-amHhYARzNhyX0KQcEg,SF,
Okane Potrero Hill,Omakase Restaurant Group,25 Division Street,ChIJjaWT5yx-j4AR0S6cwdgnD4Q,SF,
Okane Potrero Hill,Okane,669 Townsend Street,ChIJjaWT5yx-j4AR0S6cwdgnD4Q,SF,
Dumpling Time Design District,Dumpling Time - Design District,11 Division Street,ChIJ1anaJC1-j4ARf_9BjfDowt8,SF,
Dumpling Time Design District,Omakase Restaurant Group,25 Division Street,ChIJ1anaJC1-j4ARf_9BjfDowt8,SF,
Dumpling Time Mission Bay,Dumpling Time - Mission Bay,"191 Warriors Way Suite 101, San Francisco, CA 94158",ChIJR2AhaXJ_j4ARScj6r58240E,SF,
Dumpling Time Mission Bay,Omakase Restaurant Group,25 Division Street,ChIJR2AhaXJ_j4ARScj6r58240E,SF,
Omakase  Design District,Omakase,665 Townsend Street,ChIJFYz55yx-j4ARFUpWF0lt4gw,SF,
Omakase  Design District,Omakase Restaurant Group,25 Division Street,ChIJFYz55yx-j4ARFUpWF0lt4gw,SF,
Live Sushi Bar Potrero Hill,Omakase Restaurant Group,25 Division Street,ChIJtSa-BDN-j4ARVOuKy9mDdhw,SF,
Live Sushi Bar Potrero Hill,Live Sushi Bar,2001 17th Street,ChIJtSa-BDN-j4ARVOuKy9mDdhw,SF,
The Third Floor Chinatown,The Third Floor,433 Clay Street,ChIJ5ZJ8MmCAhYARlWdcG-Y51NM,SF,
The Third Floor Chinatown,Omakase Restaurant Group,25 Division Street,ChIJ5ZJ8MmCAhYARlWdcG-Y51NM,SF,
Prelude Union Square,Prelude,650 Church Street,ChIJAQCwLWCAhYARA4NhRN-ExYs,SF,
Prelude Union Square,Omakase Restaurant Group,25 Division Street,ChIJAQCwLWCAhYARA4NhRN-ExYs,SF,
Itria Mission,Itria,3266 24th Street,ChIJg0a43A5_j4ARH8IaUaRVUCs,SF,
Elephant District Dumbo,Elephant District,,ChIJIQFtrv1bwokRkEaNwb8ltZQ,NYC,
Balzem Nolita,Balzem,202 Mott St,ChIJa128pIhZwokRnoPKJguYBCA,NYC,
Le Rivage Le Rivage,Le Rivage,340 W 46th St,ChIJP9968FNYwokRluXA9d7952g,NYC,
Gair Dumbo,Gair,41 Washington St,ChIJTZIC-AdbwokRPwk_gzcoNNs,NYC,
Henry & The Lions Chelsea,Henry & The Lions,,ChIJFwCwrbpZwokRaS7l5yPwQyM,NYC,
Tacolicious Marina,Tacolicious,2250 Chestnut Street,ChIJkbv8N9eAhYARMyu5POX9pRk,SF,
Arcana Mission,Arcana,2512 Mission Street,ChIJyf4Rywl_j4ARyOJZrnvV0Wc,SF,
Share House Downtown,Share House,,ChIJYTrmDWh7_ogRu2xztQY2jCI,CHS,
Uptown Social Downtown,Uptown Social,587 King St,ChIJK_IU5Gl6_ogRSRZ2slY7U48,CHS,
WINNER in the Park Park Slope,Winner in the Park,367 7th Avenue,ChIJg8UZJyNbwokR0-LkfR8MPJQ,NYC,
WINNER Butcher Park Slope,Winner Butcher,367 7th Avenue,ChIJvaJYgaVbwokR7sVs_le8J7Y,NYC,
Octavia Pacific Heights,Octavia,1701 Octavia Street,ChIJs32Mdr-AhYARZmI19fIPvOM,SF,
Mosto Mission,MOSTO,741-A Valencia St,ChIJvfcHtPR_j4ARiPrad4Watgo,SF,
Tacolicious Mission,Tacolicious,741 Valencia Street,ChIJfxUo-Od_j4ARz1tjyoQIPAM,SF,
La Noxe Chelsea,La Noxe,10 River Road #5M,ChIJpy4I5A1ZwokRkeVFxbwI2f8,NYC,
Tacolicious (Marina) - Bar Blackbird,Tacolicious,2250 Chestnut Street,ChIJkbv8N9eAhYARMyu5POX9pRk,SF,
MOSTO - Bar Blackbird,MOSTO,741-A Valencia St,ChIJvfcHtPR_j4ARiPrad4Watgo,SF,
Hazie's - BAR BLACKBIRD,Hazie's,501 Hayes Street,ChIJn-6m802BhYARruM4u0h9-Bc,SF,
The Brixton - BAR BLACKBIRD,The Brixton,2140 Union Street,ChIJr066l9qAhYARBzcA3aD1zXM,SF,
6 Tables Marina,6 Tables,1849 Union St.,ChIJ6zLGfVeBhYARVqQDL4-aTmg,SF,
Okaeri Japanese Bistro,Okaeri Japanese Bistro,"3515 20th St, ",ChIJc2x-KdV_j4ARr3s50-Q5LcE,SF,
Bar Madonna Williamsburg,Bar Madonna,367 Metropolitan Ave,ChIJUWhXmjpZwokRjvRZ1_vjTqI,NYC,
Castro Indian Restaurant & Bar The Castro,Castro Indian Restaurant & Bar,468 Castro St.,ChIJETxWCZN_j4ARf1B301i5-ys,SF,
Bar Iris Russian Hill,Bar Iris,2310 Polk Street,ChIJQ3FRFZ-BhYAR3Rt6OXN6hSo,SF,
The Mary Lane,The Mary Lane,"99 Bank St, New York, NY 10014",ChIJvfpl3GpZwokR9Doyl16Ku_w,NYC,
Sightsee Hampton Park Terrace,Sightsee Shop,"125½, Line St",ChIJ28KoQWN7_ogRzSP8Hzqzfhw,CHS,
Seamore's Brookfield Place,Seamore's,66 Water St,ChIJh2voNWlbwokRfmpK-ELePzA,NYC,
The Test Brewery Williamsburg,The Test Brewery,302 Metropolitan Avenue,ChIJYflFPQBZwokRLloJXYjDNEA,NYC,
StarChild Rooftop,Starchild Rooftop Bar & Lounge,305 W 48th St,ChIJZa0wOP5ZwokRsVyDcNLoUlg,NYC,
StarChild Rooftop,Carver Road Hospitality,"305 W 48th St NY NY (Billing is Rabble HK LLC, 197 E California Ave Suite #270 Las Vegas NV)",ChIJZa0wOP5ZwokRsVyDcNLoUlg,NYC,
Rosevale Kitchen Midtown,Rosveale Kitchen,,ChIJ_XQGaExZwokRTmvrhBoWHUY,NYC,
Rosevale Kitchen Midtown,Carver Road Hospitality,"305 W 48th St NY NY (Billing is Rabble HK LLC, 197 E California Ave Suite #270 Las Vegas NV)",ChIJ_XQGaExZwokRTmvrhBoWHUY,NYC,
Rosevale Cocktail Bar,Carver Road Hospitality,"305 W 48th St NY NY (Billing is Rabble HK LLC, 197 E California Ave Suite #270 Las Vegas NV)",ChIJ_XQGaExZwokRTmvrhBoWHUY,NYC,
Rosevale Cocktail Bar,Rosevale Cocktail Room,305 West 48th Street,ChIJ_XQGaExZwokRTmvrhBoWHUY,NYC,
Trick Dog Mission,Trick Dog,3010 20th Street,ChIJFc-4Pzd-j4ARf66cV7PRZxw,SF,
The Harlow James Island,The Harlow,1015 Harbor View Rd,ChIJhXhO4UR5_ogRMvd7NEEgzSY,CHS,
Paradiso Restaurant + Bar Park Circle,Paradiso Charleston,4401 McCarthy Street,ChIJ6cgIbrxk_ogR4K7YKh2pdv8,CHS,
The Archer East Central,The Archer,,ChIJPaaxZsJ7_ogRSbOGoLwL9VY,CHS,
Phoenix Palace Chinatown,Phoenix Palace,,ChIJQfxkBwBbwokRdqZAdAUuTFc,NYC,
Levantine,Levantine,"361 Graham Ave, Brooklyn, NY 11211",ChIJvTv-1VBZwokRi3Wl2t2QvVY,NYC,
Callie's Hot Little Biscuit King Street,Callie's Hot Little Biscuit (Meeting Street),1895 Avenue F,ChIJzwStSmp6_ogRoa1vyarpiqI,CHS,
Berkeley’s Hampton Park Terrace,Berkeley's,,ChIJZ8LPDn57_ogRtfAHxwB8VdI,CHS,
The Market at Paradiso Park Circle,Paradiso Charleston,4401 McCarthy Street,ChIJ6cgIbrxk_ogR4K7YKh2pdv8,CHS,
The Patio Marina,The Patio,3232 Scott Street,ChIJ8anRoNaAhYARw_7AiSXOyBI,SF,
Veranda Lounge,Veranda Lounge,61 State St,ChIJaZ77_iZ7_ogRkIbToV7u2Hs,CHS,
The Bar at The Spectator,The Bar at The Spectator,"67 State St, Charleston, SC 29401",ChIJwXiSIp97_ogR81S_Th4qiVs,CHS,
Bar Iris -BAR BLACKBIRD- New Deal,Bar Iris,2310 Polk Street,ChIJQ3FRFZ-BhYAR3Rt6OXN6hSo,SF,
The Greats of Craft Midtown East,The Greats of Craft - Midtown East,983 1st Ave.,ChIJs6AxqHdZwokRwkvw64aePmI,NYC,
The Greats of Craft LIC,The Greats of Craft - LIC,,ChIJL0xJb_ZZwokRfmKufMDAycE,NYC,
Little Charli Greenwich Village,Little Charli East Hampton,271 Bleecker St,ChIJi9KyP7JZwokRODCiGhV2_KI,LI,
Brooklyn Brewery Williamsburg,Brooklyn Brewery,79 North 11th Street,ChIJUaAuMl1ZwokRt0-S_ynnRtc,NYC,
Good Thanks Williamsburg,Good Thanks- Williamsburg,31 Orchard Street,ChIJYzGsnstZwokRkcK34hMLbV0,NYC,
Roberta's Williamsburg,Roberta's Domino Park,261 Moore Street,ChIJby7B1blZwokRzCBPwiaSbTY,NYC,
Cha Cha Tang West Village,Cha Chan Tang,257 6th Avenue,ChIJteQQa4RZwokRxrQRw-hpCqI,NYC,
Verde Mount Pleasant,Verde Restaurant - Mt. Pleasant,,ChIJ5bKJ9dtx_ogRC2LndtxGrNM,,
Verde - King Street,Verde - King St.,433 King Street,ChIJg7b6WRN6_ogRMxXw1kPkUEM,CHS,
Little Rascal Nolita,Little Rascal,163 Elizabeth St,ChIJL8FQnohZwokRtuZZu_mQ_xI,NYC,
Little Rascal Greenpoint,Little Rascal- Greenpoint,163 Elizabeth Street,ChIJ01RS_U1ZwokRYmG4U1zKxgs,NYC,
Brown Dog Deli Harleston Village,Brown Dog Deli,225 Calhoun St,ChIJHRq3Sw56_ogRsVgGoXhhptQ,CHS,
Verde MUSC Main Hospital,Verde Restaurant - MUSC Main Hospital,,ChIJv9sG_FBawokRla6TIaJSNM4,NYC,
Verde  Airport,Verde Restaurant - Charleston International Airport,,ChIJK_CSR6Bl_ogRvvcG30aQ4k4,CHS,
Verde College of Charleston,Verde Restaurant - College of Charleston,,ChIJK_CSR6Bl_ogRvvcG30aQ4k4,CHS,
Bar Enzo Long Island City,The Greats of Craft - Bar Enzo - LIC,,ChIJD_uCNtNZwokR8uyJSOjMuZQ,NYC,
Verde Avondale,Verde Restaurant - Avondale,,ChIJGXy4c8J7_ogR3zm4tOX3Bc4,NYC,
Verde Belle Hall,Verde Restaurant - Belle Hall,,ChIJ5bKJ9dtx_ogRC2LndtxGrNM,NYC,
Verde Park Circle,Verde Restaurant - Park Circle,,ChIJK_CSR6Bl_ogRvvcG30aQ4k4,CHS,
Verde MUSC - Ashley River Tower,Verde Restaurant - MUSC Ashley River Tower,,ChIJi2WKszl6_ogRfD7bDDJVkCs,NYC,
Trick Dog-BAR BLACKBIRD,Trick Dog,3010 20th Street,ChIJFc-4Pzd-j4ARf66cV7PRZxw,SF,
Local Roots Market57,localroots.nyc,101 Warren Street,ChIJOVrVlpJZwokRyWwXfTLLV3M,NYC,
Clerks Downtown,Clerks Coffee Company,181 Church St,ChIJwQPCRS17_ogRXFQ2EbBGdz4,CHS,
Frannie & The Fox Downtown,Frannie & The Fox,181 Church Street,ChIJOetRgzp7_ogR_eJsx6ttGls,CHS,
Cafe Colette,Cafe Colette,79 Berry St,ChIJBanVDl1ZwokROc3C9FpKZ78,NYC,
Carriage House,Carriage House,142 West 10th Street,ChIJlzm4NCRZwokRGSjvjX5yFvI,NYC,
Meraki Williamsburg,Meraki Greek Bistro,142 Southeast 1st Avenue,ChIJQbmcEdFZwokRR02fTE9tLhA,NYC,
Ruffian East Village,Ruffian,125 East 7th Street,ChIJHfvtRp1ZwokREpFE8Z1BEKs,NYC,
Breeze Greenpoint,Breeze,,ChIJayMXxXBZwokRq41Uj462dS0,NYC,
Spaghetti Incident Lower East Side,Spaghetti Incident,231 Eldridge Street,ChIJa00rEYRZwokRP-GRuN-bLTQ,NYC,
TALEA Beer Co. - Penn District,TALEA Beer Co.,"22 W 40th St, New York, NY 10018",ChIJnc6ISERZwokRcs56foDArOM,NYC,
Bar Sprezzatura Financial District,Bar Sprezzatura,"One Maritime Plaza, #100",ChIJU00uDM6BhYAR_ZOluZ0m4qA,SF,
Bad Roman Columbus Circle,Bad Roman,"3rd floor, 10 Columbus Cir",ChIJG0fkfuJZwokRqmAxXTpYP2I,NYC,
Twin Tails Columbus Circle,Twin Tails,10 Columbus Circle 3rd Floor,ChIJbxASGTNZwokR9eIMYL28EQE,NYC,
Alphabet City Beer Co. Lower East Side,Alphabet City Beer Co.,"6 Loisaida Ave, New York, NY 10009",ChIJWaWbwHlZwokRj1wHkvB84zE,NYC,
Bar Sprezzatura-BAR BLACKBIRD,Bar Sprezzatura,"One Maritime Plaza, #100",ChIJNVkbEwBZwokRcQJBrkU_Wuo,SF,
Zou Zou's Hudson Yards,Zou Zou's,385 9th Avenue,ChIJKVbn75VZwokRLdlBWe5rbtU,NYC,
MADELINE'S,MADELINE'S,"113 Franklin St FC, Brooklyn, NY 11222",ChIJzSqlSxpZwokRnXgKKOO_yWE,NYC,
Wine:30,Wine:30,41 E 30th St,ChIJiUAH6adZwokRfDpIF52xwuo,NYC,
Arthur and Sons Murray Hill,Arthur & Sons Murray Hill,145 East 39th Street,ChIJ5wRLNwBZwokRCRy7BYuPh6w,NYC,
Hudson Club Midtown,Hudson Club,136 w 55th st,ChIJZ49dwcNZwokRtUHt_n4BYME,NYC,
5ive Spice- Nolita,5ive Spice- Nolita,"227 Mulberry St, New York, NY 10012",ChIJO1_22AhZwokRm6t3InR_YCQ,NYC,
Wildflower Chelsea,Wildflower,505 W 23rd St,ChIJnReZJQBZwokRRwOUbuV7JzE,NYC,
5ive Spice- Grammercy,5ive Spice- Gramercy,"363 3rd Ave New York, NY 10016",ChIJg_hIprRZwokRG4Dms5riUOU,NYC,
Milos Meze,Milos Meze,3348 Steiner St.,ChIJz5elL9eAhYARHEkGT1LSNkc,SF,
KAIYŌ Rooftop SOMA,KAIYO ROOFTOP,"701 3rd St 12th Floor,",ChIJAS1jCN5_j4AR_KeMCaeunWw,SF,
Kid,Kid,,ChIJg0HWjBpawokRzYQIfpNPsSo,NYC,
The Greats of Craft - Midtown East- Bfast Pass,The Greats of Craft - Midtown East,983 1st Ave.,ChIJs6AxqHdZwokRwkvw64aePmI,NYC,
Motel Morris Chelsea,The Morris,132 7th Ave,ChIJEc5RXrxZwokR2Zud13FFqR0,NYC,
X-Golf Williamsburg,X Golf Brooklyn,225 South Main Street,ChIJeYgCuyJZwokR1g2Im-QCgtk,NYC,
KAIYO ROOFTOP - BAR BLACKBIRD-New Deal,KAIYO ROOFTOP,"701 3rd St 12th Floor,",ChIJAS1jCN5_j4AR_KeMCaeunWw,SF,
Tacombi - nolita,Tacombi,"267 Elizabeth St, New York, NY 10012",ChIJdfD8moVZwokRO6vxjXAtoWs,NYC,
Tacombi - nolita,Tacombi (Parent Company),265 Bowery,ChIJdfD8moVZwokRO6vxjXAtoWs,NYC,
Kaiyo Soma,KAIYO RESTAURANT,"701 3RD ST, FLOOR 1",ChIJAS1jCN5_j4AR_KeMCaeunWw,SF,
Midnights,Midnights,149 North 6th Street,ChIJoerR5V1ZwokRu55P9DJaNEo,NYC,
Midnights,X Golf Brooklyn,225 South Main Street,ChIJoerR5V1ZwokRu55P9DJaNEo,NYC,
Cecilia East Village,Cecilia,97 St Marks Pl,ChIJOxW7qFFZwokR-KdRrjd3o9w,NYC,
Hank's Seafood Restaurant Radcliffborough,Hank's Seafood Restaurant,10 Hayne St,ChIJt5BmhQ16_ogRbwSj1J64dmA,CHS,
Milk & Hops Chelsea,Milk & Hops,166 9th Ave,ChIJN6avE7lZwokRZrgdqFX1f6Y,NYC,
Twist Bar,Twist Bar,,ChIJL8iG0HNZwokR70zQBzoMKTc,NYC,
Little Palm Downtown,Little Palm,237 Meeting St,ChIJC4n-xyN7_ogRFpS2Bz2a7Wg,CHS,
The Coffee Counter French Quarter,The Coffee Counter,237 Meeting Street,ChIJU3WDczx7_ogR525G2DE5d8Q,CHS,
Kru,Kru,190 North 14th Street,ChIJz0Bt0ldZwokR698-eT0Dh88,NYC,
Kings of Kobe - Wagyu Kitchen & Bar Hell's Kitchen,Kings of Kobe,650 W 42nd St,ChIJlaUCHbxZwokRUPWZkyNQyYg,NYC,
Amarena Russian Hill,Amarena,2162 Larkin Street,ChIJM7I8HemAhYARjCsAkDZd_D8,SF,
Wabi Nori,Wabi Nori,"115 Essex St, New York, NY 10002",ChIJSU8szcZZwokRurWGO4cm_3g,NYC,
Fan Fan Doughnuts Clinton Hill,Fan Fan Doughnuts,448 Lafayette Avenue,ChIJ-eBifR5bwokRgXeVyNhDBFg,NYC,
Bar Six,Bar Six,"502 6th Ave, New York, NY 10011",ChIJ9bgCzJdZwokRvm_6RoQ8edg,NYC,
Wild East Brewing Co.,Wild East Brewing Co.,"623 Sackett St, Brooklyn, NY 11217",ChIJCb9dhqVbwokRRWJzMd-IdYk,NYC,
Due West West Village,Due West,189 W 10th St,ChIJEyUgYZRZwokRETFRosKubF8,NYC,
Mijo Chelsea,Mijo (Chelsea),25 West 11th Street,ChIJYz7xMA1ZwokRKF9e6rssLcA,NYC,
The Purple Tongue Wine Bar,Purple Tongue,"410 W 43rd St, New York, NY 10036",ChIJw4INJQBZwokRQDsl00Ujaig,NYC,
Ricco Mediterranean Restaurant Marina,Ricco Mediterranean Restaurant,3145 Fillmore Street,ChIJT38zVACBhYARt6kXf2xuSvs,SF,
Fornino Greenpoint,Fornino,849 Manhattan Ave,ChIJx1Bo1EBZwokRUZ_xdNzvcLY,NYC,
Falu House,Falu House,,ChIJbwTrdABZwokRJBMnW6dXFoM,NYC,
Amelie  Polk Gulch,Amelie San Francisco,1754 Polk Street,ChIJ88G-quuAhYAR7bj0Yhr8gwI,SF,
Bergerac SoMa,Bergerac,316 11th Street,ChIJ5wZMMyZ-j4ARDpT0d0kIx7A,SF,
Nowon - East Village East Village,Nowon East Village,507 e 6th street,ChIJjReAQKxZwokRnnraeb2WJ18,NYC,
Nowon Bushwick,Nowon Bushwick,436 Jefferson Street,ChIJCzyNLENbwokR-lXh5FtzU70,NYC,
Nowon - Bushwick Bushwick,Nowon Bushwick,436 Jefferson Street,ChIJCzyNLENbwokR-lXh5FtzU70,NYC,
LaRina Pastificio & Vino,LaRina Pastificio & Vino,"387 Myrtle Ave, Brooklyn, NY",ChIJweAtELhbwokRO1AexCvuRo0,NYC,
Threes Brewing Greenpoint,Threes Brewing Gowanus,333 Douglass Street,ChIJE6U0R0BZwokRqbil1N5FfAM,NYC,
Strange Delight,Strange Delight,63 Lafayette ave ,ChIJSZ__agBbwokRFqNZkOBfbsk,NYC,
Bar Moga SoHo,Bar Moga,128 W Houston St,ChIJRy7Z-I1ZwokRQm17a6QDJ6E,NYC,
