restaurant_name,location_name,street,city,state,zipcode,coordinate,google_place_id,Error?,place_id_verification,match_status,match_confidence,match_method,verified_place_id,match_notes
25 Lusk,SOMA,25 Lusk St,San Francisco,CA,94107,0101000020E610000029DCE1653C995EC0FE8F5DB3A6E34240,ChIJGTt4QUF_j4AR44nz1TQkoKc,,Valid: 25 Lusk (conf: 1.00),MATCHED,0.895,high_similarity,,Matched to HS row 491
5 Acres,Rockefeller Center,"30 Rock, Rink Level",New York,NY,10112,0101000020E610000009D3F776B67E52C03C1F538A38614440,ChIJj0EtEZRZwokRYi9Wk-lvJUU,,Invalid: Token overlap (0.67),MATCHED,1.0,verified_place_id,,Matched to HS row 202
5ive Spice,Gramercy,363 3rd Ave,New York,NY,10016,0101000020E6100000DDDF91B3CC7E52C0EA61F7CBD95E4440,ChIJg_hIprRZwokRG4Dms5riUOU,,Valid: 5ive Spice (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 403
5ive Spice,SoHo,227 Mulberry St,New York,NY,10012,0101000020E61000002B3C1EE9C27F52C038925F9A7D5C4440,ChIJO1_22AhZwokRm6t3InR_YCQ,,Invalid: Address match (0.93),MATCHED,1.0,verified_place_id,,Matched to HS row 401
6 NYC,Carroll Gardens,481 Court St,Brooklyn,NY,11231,0101000020E6100000E5553706E87F52C0A2A76C9F92564440,ChIJDfRavFtbwokRijMBw1NobfM,,Invalid: Address match (0.93),MATCHED,1.0,verified_place_id,,Matched to HS row 296
8282,Lower East Side,84 Stanton St,New York,NY,10002,0101000020E6100000FF791A30487F52C00B90B28F5F5C4440,ChIJNaUIchtZwokRHI8Pk3mEz1Y,,Valid: 8282 (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 62
82 Queen,French Quarter,82 Queen St,Charleston,SC,29401,0101000020E6100000D76D50FBADFB53C0E179A9D898634040,ChIJDZ7DvBF6_ogRhOZ4IH9ehhE,,Valid: 82 Queen (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 0
886,East Village,26 St Marks Pl,New York,NY,10003,0101000020E6100000A796ADF5457F52C0F7065F984C5D4440,ChIJKbjLf5xZwokRYa6BYJg0Xns,,Valid: 886 (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 760
Accidental Bar,Alphabet City,98 Loisaida Ave,New York,NY,10009,0101000020E6100000F82AF1D9A77E52C0EA176670AC5C4440,ChIJUeg8neFZwokRjTD4oCwTPGk,,Valid: Accidental Bar (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 610
Ace Eat Serve,Uptown,501 E 17th Ave,Denver,CO,80203,0101000020E61000003C45B357C43E5AC0301812E62CDF4340,ChIJu-mW5St5bIcRmFpCS-fM6MA,,Valid: Ace Eat Serve (conf: 1.00),MATCHED,1.0,verified_place_id,,Matched to HS row 778
